"","x"
"659","1904 Fritz Buelow"
"660","1904 Gabby Street"
"661","1904 Gene DeMontreville"
"662","1904 Gene McAuliffe"
"663","1904 George Davis"
"664","1904 George Lachance"
"665","1904 George Moriarty"
"666","1904 George Nill"
"667","1904 George Stovall"
"668","1904 Gus Dundon"
"669","1904 Harry Bemis"
"670","1904 Harry Davis"
"671","1904 Harry Gleason"
"672","1904 Harry Ostdiek"
"673","1904 Harry Smith"
"674","1904 Harry Steinfeldt"
"675","1904 Harry Wolverton"
"676","1904 Heinie Peitz"
"677","1904 Herman Long"
"678","1904 Hobe Ferris"
"679","1904 Honus Wagner"
"680","1904 Hunter Hill"
"681","1904 Jack Burns"
"682","1904 Jack Doyle"
"683","1904 Jack Dunn"
"684","1904 Jack O'Connor"
"685","1904 Jack O'Neill"
"686","1904 Jack Rafter"
"687","1904 Jack Thoney"
"688","1904 Jack Warner"
"689","1904 Jake Beckley"
"690","1904 Jake Stahl"
"691","1904 James Casey"
"692","1904 James Mullen"
"693","1904 Jesse Purnell"
"694","1904 Jesse Stovall"
"695","1904 Jiggs Donahue"
"696","1904 Jim Delahanty"
"697","1904 Jim O'Rourke"
"698","1904 Jimmy Archer"
"699","1904 Jimmy Burke"
"700","1904 Jimmy Callahan"
"701","1904 Jimmy Collins"
"702","1904 Jimmy Sheckard"
"703","1904 Jimmy Williams"
"704","1904 Joe Cassidy"
"705","1904 Joe Kelley"
"706","1904 Joe Sugden"
"707","1904 Joe Tinker"
"708","1904 John Anderson"
"709","1904 John Barry"
"710","1904 John Butler"
"711","1904 John Dobbs"
"712","1904 John Farrell"
"713","1904 John Ganzel"
"714","1904 John McGraw"
"715","1904 Johnny Evers"
"716","1904 Johnny Kling"
"717","1904 Johnny Lush"
"718","1904 Kid Elberfeld"
"719","1904 Kid Gleason"
"720","1904 Kitty Bransfield"
"721","1904 Klondike Douglass"
"722","1904 Larry McLean"
"723","1904 Lave Cross"
"724","1904 Lee Tannehill"
"725","1904 Lefty Herring"
"726","1904 Lew Drill"
"727","1904 Lew Ritter"
"728","1904 Lou Bruce"
"729","1904 Lou Criger"
"730","1904 Malachi Kittridge"
"731","1904 Mike Donlin"
"732","1904 Mike Donovan"
"733","1904 Mike Grady"
"734","1904 Mike Heydon"
"735","1904 Mike Kahoe"
"736","1904 Mike McCormack"
"737","1904 Miller Huggins"
"738","1904 Monte Beville"
"739","1904 Monte Cross"
"740","1904 Mordecai Brown"
"741","1904 Nap Lajoie"
"742","1904 Nick Altrock"
"743","1904 Ossee Schrecongost"
"744","1904 Otto Krueger"
"745","1904 Otto Williams"
"746","1904 Pat Carney"
"747","1904 Pat Moran"
"748","1904 Peaches O'Neill"
"749","1904 Pete Noonan"
"750","1904 Phil Geier"
"751","1904 Red Dooin"
"752","1904 Red Kleinow"
"753","1904 Roger Bresnahan"
"754","1904 Rudy Hulswitt"
"755","1904 Sam Mertes"
"756","1904 Sam Woodruff"
"757","1904 Sammy Strang"
"758","1904 She Donahue"
"759","1904 Sherry Magee"
"760","1904 Simmy Murch"
"761","1904 Socks Seybold"
"762","1904 Solly Hofman"
"763","1904 Terry Turner"
"764","1904 Tom Doran"
"765","1904 Tom Jones"
"766","1904 Tom Needham"
"767","1904 Tom Stankard"
"768","1904 Tom Stanton"
"769","1904 Tommy Corcoran"
"770","1904 Tommy Leach"
"771","1904 Vic Willis"
"772","1904 Wid Conroy"
"773","1904 William Clarke"
"774","1905 Ad Yale"
"775","1905 Addie Joss"
"776","1905 Admiral Schlei"
"777","1905 Al Bridwell"
"778","1905 Al Orth"
"779","1905 Allie Strobel"
"780","1905 Art Devlin"
"781","1905 Art Hoelskoetter"
"782","1905 Art McGovern"
"783","1905 Art Weaver"
"784","1905 Ben Koehler"
"785","1905 Bill Bergen"
"786","1905 Bill Bradley"
"787","1905 Bill Clancy"
"788","1905 Bill Coughlin"
"789","1905 Bill Dahlen"
"790","1905 Bill Donovan"
"791","1905 Bill Hinchman"
"792","1905 Bill Lauterborn"
"793","1905 Bill McCarthy"
"794","1905 Billy Gilbert"
"795","1905 Billy Sullivan"
"796","1905 Bob Hall"
"797","1905 Bob Unglaub"
"798","1905 Bob Wood"
"799","1905 Bobby Lowe"
"800","1905 Bobby Wallace"
"801","1905 Branch Rickey"
"802","1905 Buck Freeman"
"803","1905 Bud Sharpe"
"804","1905 Charles Moran"
"805","1905 Charley O'Leary"
"806","1905 Charlie Armbruster"
"807","1905 Charlie Babb"
