"","x"
"445","1904 Barney Pelty"
"446","1904 Barney Wolfe"
"447","1904 Beany Jacobson"
"448","1904 Bill Bernhard"
"449","1904 Bill Dinneen"
"450","1904 Bill Donovan"
"451","1904 Bill Duggleby"
"452","1904 Bill Reidy"
"453","1904 Billy Milligan"
"454","1904 Bob Ewing"
"455","1904 Bob Rhoads"
"456","1904 Bob Wicker"
"457","1904 Bucky Veil"
"458","1904 Bugs Raymond"
"459","1904 Bull Durham"
"460","1904 Buttons Briggs"
"461","1904 Carl Lundgren"
"462","1904 Casey Patten"
"463","1904 Chappie McFarland"
"464","1904 Charlie Case"
"465","1904 Charlie Jaeger"
"466","1904 Chick Fraser"
"467","1904 Chick Robitaille"
"468","1904 Chief Bender"
"469","1904 Christy Mathewson"
"470","1904 Clark Griffith"
"471","1904 Claud Elliott"
"472","1904 Cy Ferry"
"473","1904 Cy Morgan"
"474","1904 Cy Young"
"475","1904 Davey Dunkle"
"476","1904 Deacon Phillippe"
"477","1904 Del Mason"
"478","1904 Doc Reisling"
"479","1904 Doc Scanlan"
"480","1904 Doc White"
"481","1904 Dummy Taylor"
"482","1904 Earl Moore"
"483","1904 Ed Killian"
"484","1904 Ed McNichol"
"485","1904 Ed Poole"
"486","1904 Ed Siever"
"487","1904 Ed Walsh"
"488","1904 Eddie Plank"
"489","1904 Elmer Stricklett"
"490","1904 Ernie Groth"
"491","1904 Frank Bowerman"
"492","1904 Frank Corridon"
"493","1904 Frank Kitson"
"494","1904 Frank Owen"
"495","1904 Frank Smith"
"496","1904 Fred Applegate"
"497","1904 Fred Glade"
"498","1904 Fred Mitchell"
"499","1904 Gene Wright"
"500","1904 George Mullin"
"501","1904 George Winter"
"502","1904 Grant Thatcher"
"503","1904 Happy Townsend"
"504","1904 Harry Howell"
"505","1904 Highball Wilson"
"506","1904 Hooks Wiltse"
"507","1904 Howie Camnitz"
"508","1904 Jack Chesbro"
"509","1904 Jack Cronin"
"510","1904 Jack Doscher"
"511","1904 Jack Dunleavy"
"512","1904 Jack Dunn"
"513","1904 Jack Harper"
"514","1904 Jack Hickey"
"515","1904 Jack Pfiester"
"516","1904 Jack Powell"
"517","1904 Jack Sutthoff"
"518","1904 Jack Taylor"
"519","1904 Jake Weimer"
"520","1904 Jesse Stovall"
"521","1904 Jesse Tannehill"
"522","1904 Jim Delahanty"
"523","1904 Jim Fairbank"
"524","1904 Jim McGinley"
"525","1904 Joe Corbett"
"526","1904 Joe Koukalik"
"527","1904 Joe McGinnity"
"528","1904 Joe Stewart"
"529","1904 John Barthold"
"530","1904 John Brackenridge"
"531","1904 John McPherson"
"532","1904 Johnny Lush"
"533","1904 Kaiser Wilhelm"
"534","1904 Kid Nichols"
"535","1904 Lew Moren"
"536","1904 Lou Bruce"
"537","1904 Mike Lynch"
"538","1904 Mike O'Neill"
"539","1904 Mordecai Brown"
"540","1904 Ned Garvin"
"541","1904 Nick Altrock"
"542","1904 Noodles Hahn"
"543","1904 Norwood Gibson"
"544","1904 Oscar Jones"
"545","1904 Otto Hess"
"546","1904 Pat Carney"
"547","1904 Pat Hynes"
"548","1904 Patsy Flaherty"
"549","1904 Ralph Caldwell"
"550","1904 Red Ames"
"551","1904 Red Donahue"
"552","1904 Roscoe Miller"
"553","1904 Roy Patterson"
"554","1904 Rube Waddell"
"555","1904 Sam Leever"
"556","1904 Togie Pittinger"
"557","1904 Tom Barry"
"558","1904 Tom Dougherty"
"559","1904 Tom Fisher"
"560","1904 Tom Hughes"
"561","1904 Tom Walker"
"562","1904 Tully Sparks"
"563","1904 Vic Willis"
"564","1904 Walter Clarkson"
"565","1904 War Sanders"
"566","1904 Weldon Henley"
"567","1904 Willie Sudhoff"
"568","1904 Win Kellum"
"569","1904 Wyatt Lee"
"570","1905 Addie Joss"
"571","1905 Al Orth"
"572","1905 Ambrose Puttmann"
"573","1905 Andy Bruckmiller"
"574","1905 Andy Coakley"
"575","1905 Art Goodwin"
"576","1905 Art Hoelskoetter"
"577","1905 Barney Pelty"
"578","1905 Barney Wolfe"
"579","1905 Beany Jacobson"
"580","1905 Big Jeff Pfeffer"
"581","1905 Bill Bernhard"
"582","1905 Bill Dinneen"
"583","1905 Bill Donovan"
"584","1905 Bill Duggleby"
"585","1905 Bill Hogg"
"586","1905 Billy Campbell"
"587","1905 Bob Ewing"
"588","1905 Bob Rhoads"
"589","1905 Bob Wicker"
"590","1905 Buck Washer"
"591","1905 Buster Brown"
"592","1905 Buttons Briggs"
"593","1905 Carl Lundgren"
"594","1905 Casey Patten"
"595","1905 Chappie McFarland"
"596","1905 Charlie Case"
"597","1905 Charlie Chech"
"598","1905 Chick Fraser"
"599","1905 Chick Robitaille"
"600","1905 Chief Bender"
"601","1905 Christy Mathewson"
"602","1905 Clark Griffith"
"603","1905 Claud Elliott"
"604","1905 Cozy Dolan"
"605","1905 Cy Falkenberg"
"606","1905 Cy Ferry"
"607","1905 Cy Morgan"
"608","1905 Cy Young"
"609","1905 Deacon Phillippe"
"610","1905 Del Howard"
"611","1905 Dick Harley"
"612","1905 Doc Newton"
"613","1905 Doc Reisling"
"614","1905 Doc Scanlan"
"615","1905 Doc White"
"616","1905 Dummy Taylor"
"617","1905 Earl Moore"
"618","1905 Ed Barry"
"619","1905 Ed Hughes"
"620","1905 Ed Killian"
"621","1905 Ed Kinsella"
"622","1905 Ed Reulbach"
"623","1905 Ed Walsh"
"624","1905 Eddie Cicotte"
"625","1905 Eddie Plank"
"626","1905 Elmer Stricklett"
"627","1905 Ernie Baker"
"628","1905 Frank Corridon"
"629","1905 Frank Hershey"
"630","1905 Frank Kitson"
"631","1905 Frank Moore"
"632","1905 Frank Owen"
"633","1905 Frank Smith"
"634","1905 Fred Glade"
"635","1905 Fred Mitchell"
"636","1905 Fred Tenney"
"637","1905 Frosty Thomas"
"638","1905 Gene Ford"
"639","1905 George Disch"
"640","1905 George Mullin"
"641","1905 George Winter"
"642","1905 Hank Olmsted"
"643","1905 Happy Townsend"
"644","1905 Harry Ables"
"645","1905 Harry Hardy"
"646","1905 Harry Howell"
"647","1905 Harry Kane"
"648","1905 Harry McIntire"
"649","1905 Herbert Jackson"
"650","1905 Hi West"
"651","1905 Homer Hillebrand"
"652","1905 Hooks Wiltse"
"653","1905 Ike Van Zandt"
"654","1905 Irv Young"
"655","1905 Jack Chesbro"
"656","1905 Jack Doscher"
"657","1905 Jack Harper"
"658","1905 Jack Powell"
"659","1905 Jack Sutthoff"
"660","1905 Jack Taylor"
